"","ELEC-a","GASHeat-a","OIL-a","COAL-a","ENIT-a","NEINT-a","AGRI-a","Household","Total"
"GASHeat-c",439.0882812,42.6574264,0.5375189,0.0195875,54.5553349,200.246026,0.235598,170.74949,908.0892629
"OIL-c",104.6097451,16.299598,49.2335899,0.860783,785.2539525,517.1761777,44.6608223,289.2644,1807.3590685
"COAL-c",1884.0897472,57.0685293,0,0.3149716,852.2135005,32.2236777,11.0072493,8.65267,2845.5703456
"process",0,0,0,0,290.8706,0,0,0,290.8706
"Total",2427.7877735,116.0255537,49.7711088,1.1953421,1982.8933879,749.6458814,55.9036696,468.66656,5851.889277
